Namespace(b_lr=0.0001, batch_size=64, conv=False, dataset='MNIST', dry_run=False, epochs=100, feedback_decay=0.0, gamma=0.95, log_dir='results/', log_interval=100, lr=0.0001, n_layers=3, no_cuda=False, seed=-1, test_batch_size=1000, train_mode='FDFA', weight_decay=0.0)
Epoch,Training Loss,Test Loss,Test Accuracy
1,0.2735788997099884,0.09326398025628678,97.14
2,0.08503206043855659,0.06989312167042143,97.87
3,0.05310670403974143,0.06347844490924535,97.93
4,0.03587266995208159,0.0621221403532571,98.06
5,0.02718090805682296,0.05808217654267554,98.25
6,0.018350995433921897,0.05689155524838486,98.24
7,0.014477866316016372,0.05402504622879339,98.33
8,0.011719793204742143,0.06321126237176292,98.13
9,0.01140636869186254,0.061762653994652965,98.24
10,0.007787599621906823,0.06205344976536884,98.36
11,0.008497586071030854,0.06763276110189272,98.19
12,0.007507755175266986,0.06296748504215939,98.19
13,0.004964889988465707,0.06026655087149196,98.41
14,0.004417574028083648,0.06477958185561997,98.28
15,0.0048347346806692035,0.06758236240513933,98.25
16,0.004444860036842707,0.06220028237408005,98.29
17,0.0028070282586142798,0.06152916818158684,98.45
18,0.002761950860999537,0.06659624222029857,98.31
19,0.003115683348056988,0.06490359871155149,98.36
20,0.0028835783998548653,0.06800793297872029,98.33
21,0.0018599480816391966,0.06013433315670401,98.49
22,0.0017071402327307288,0.06496613862619614,98.5
23,0.0019770901752544385,0.06451744567462958,98.46
24,0.0011436358214862096,0.06311537173189807,98.51
25,0.001351644687417411,0.06738530701296508,98.46
26,0.001332420493791864,0.06481391220080504,98.49
27,0.001249954492502876,0.06951606909926085,98.4
28,0.0011097042093909028,0.06631073927375764,98.46
29,0.0007388351579375439,0.06435020059130989,98.46
30,0.0008035821350313975,0.06424734897620847,98.54
31,0.0007213912627635075,0.061919304131477275,98.53
32,0.0006586734821871638,0.06466427074006396,98.54
33,0.0007604163043586146,0.06514969703165022,98.51
34,0.0006752562995558204,0.06459952638275673,98.48
35,0.0004079687845797816,0.06340172560061517,98.62
36,0.0004943619707143901,0.061987664068075446,98.58
37,0.00039524660006325167,0.06288920460382239,98.52
38,0.0005833815915559311,0.062319845497450184,98.51
39,0.0004071828152288437,0.06223260705729989,98.61
40,0.0002823476277315951,0.06326212295833246,98.57
41,0.00029699607343844673,0.06616035534953961,98.49
42,0.0002654773446222203,0.06376555553199077,98.57
43,0.00020845908224347793,0.06376322177215721,98.58
44,0.0003440037466738594,0.06427113586289794,98.62
45,0.0002925239195932007,0.06643241074088703,98.45
46,0.0003395802696420846,0.06312766189011298,98.58
47,0.0002220138072872267,0.06434109236180127,98.54
48,0.00017497943752481406,0.06449984999835909,98.55
49,0.00027370479957885614,0.06756867821623981,98.62
50,0.00018858023039479413,0.06476682635121307,98.64
51,0.00015736049521353568,0.06431464078233258,98.57
52,0.0001819238593395185,0.06713274568254199,98.58
53,0.00018032486927887207,0.06654887431486195,98.62
54,0.00010295699238678203,0.06679141773142921,98.6
55,0.0001323531728765734,0.065370428522305,98.58
56,0.0001434176425500242,0.06383170349833091,98.7
57,0.0001572854562604754,0.06441275047104984,98.64
58,0.0001741995355785927,0.06909022811137824,98.56
59,0.00011995821978386342,0.06872018734863133,98.58
60,0.00012512877090680978,0.06666211151672038,98.69
61,0.00012872615854388376,0.06783245535613017,98.65
62,0.00011839207813195018,0.06661283250469646,98.62
63,9.017937595995873e-05,0.06912445145540452,98.51
64,8.349129201417473e-05,0.0675676981806367,98.57
65,6.661377652896836e-05,0.06842398740506334,98.59
66,8.333346717402032e-05,0.06698436713767295,98.62
67,8.491740483813308e-05,0.06821506018361083,98.58
68,7.750710411845479e-05,0.06627403576025928,98.62
69,9.346941416899052e-05,0.06706767262364849,98.7
70,0.00014764509505988709,0.06797677097879468,98.64
71,6.311887604826686e-05,0.06864111060730228,98.58
72,8.362416528581535e-05,0.06686346271887857,98.66
73,7.642841143197103e-05,0.06757721744634666,98.56
74,4.9138630267691135e-05,0.0681827740150222,98.61
75,6.670022193225317e-05,0.06728789562254799,98.61
76,5.466318041291126e-05,0.06603632791213934,98.69
77,9.10951426491245e-05,0.06714282577210884,98.65
78,6.293199677140519e-05,0.06643163949947971,98.69
79,8.079944339259335e-05,0.06767705804775447,98.58
80,0.00011683159241699998,0.06705000960391887,98.63
81,5.575642776928697e-05,0.06591549052608117,98.69
82,7.915346431072326e-05,0.06729563857851623,98.63
83,4.292029033929402e-05,0.06592125406353584,98.68
84,8.630062625855952e-05,0.0649606588626446,98.67
85,9.886906796880354e-05,0.06642466042585708,98.67
86,5.4403061107272e-05,0.06581022731635276,98.64
87,6.340316248548185e-05,0.06516491731763564,98.67
88,4.7837714502945785e-05,0.0669928285144296,98.62
89,5.476702022779301e-05,0.06599076033259234,98.65
90,5.161532083915079e-05,0.06863279994600577,98.59
91,4.4731179222060724e-05,0.06863486558175681,98.62
92,5.531701649380372e-05,0.06861934856515732,98.59
93,0.00010544891355371211,0.06741139799171393,98.63
94,6.363731742211234e-05,0.06656027823651237,98.65
95,8.43906500492244e-05,0.06643165486763701,98.61
96,4.117336839575445e-05,0.06699338043604158,98.64
97,6.486621762640785e-05,0.06684981453497121,98.66
98,9.92116302587031e-05,0.06667489664033702,98.6
99,5.703171905339876e-05,0.06762110868630532,98.61
100,4.9719182844559395e-05,0.06773745396186885,98.62
