,epoch,test_accuracy,train_loss,test_loss
0,0,65.9,"tensor(405.1244, device='cuda:2', grad_fn=<AddBackward0>)",53.49307429790497
1,1,70.85,"tensor(271.8425, device='cuda:2', grad_fn=<AddBackward0>)",41.2418799996376
2,2,72.76,"tensor(223.2661, device='cuda:2', grad_fn=<AddBackward0>)",35.857084810733795
3,3,74.1,"tensor(198.9850, device='cuda:2', grad_fn=<AddBackward0>)",32.810108721256256
4,4,74.97,"tensor(184.2408, device='cuda:2', grad_fn=<AddBackward0>)",30.79963654279709
5,5,75.88,"tensor(174.1704, device='cuda:2', grad_fn=<AddBackward0>)",29.37399673461914
6,6,76.49,"tensor(166.5026, device='cuda:2', grad_fn=<AddBackward0>)",28.27844116091728
7,7,77.0,"tensor(160.7354, device='cuda:2', grad_fn=<AddBackward0>)",27.389627277851105
8,8,77.36,"tensor(155.8137, device='cuda:2', grad_fn=<AddBackward0>)",26.671916097402573
9,9,77.7,"tensor(151.7241, device='cuda:2', grad_fn=<AddBackward0>)",26.05100792646408
10,10,78.04,"tensor(148.3278, device='cuda:2', grad_fn=<AddBackward0>)",25.529902756214145
11,11,78.56,"tensor(145.2586, device='cuda:2', grad_fn=<AddBackward0>)",25.06899932026863
12,12,78.78,"tensor(142.6388, device='cuda:2', grad_fn=<AddBackward0>)",24.68731564283371
13,13,79.12,"tensor(140.3270, device='cuda:2', grad_fn=<AddBackward0>)",24.31688889861107
14,14,79.35,"tensor(138.3020, device='cuda:2', grad_fn=<AddBackward0>)",23.994447022676468
15,15,79.57,"tensor(136.4405, device='cuda:2', grad_fn=<AddBackward0>)",23.697962760925293
16,16,79.72,"tensor(134.6129, device='cuda:2', grad_fn=<AddBackward0>)",23.435643136501312
17,17,80.0,"tensor(133.0036, device='cuda:2', grad_fn=<AddBackward0>)",23.189038932323456
18,18,80.2,"tensor(131.6308, device='cuda:2', grad_fn=<AddBackward0>)",22.983261555433277
19,19,80.34,"tensor(130.2488, device='cuda:2', grad_fn=<AddBackward0>)",22.755968421697617
20,20,80.37,"tensor(129.1034, device='cuda:2', grad_fn=<AddBackward0>)",22.57573300600052
21,21,80.49,"tensor(127.8771, device='cuda:2', grad_fn=<AddBackward0>)",22.40972489118576
22,22,80.46,"tensor(126.8251, device='cuda:2', grad_fn=<AddBackward0>)",22.222232788801197
23,23,80.65,"tensor(125.6364, device='cuda:2', grad_fn=<AddBackward0>)",22.06518542766571
24,24,80.69,"tensor(124.7800, device='cuda:2', grad_fn=<AddBackward0>)",21.919476449489597
25,25,80.76,"tensor(123.8449, device='cuda:2', grad_fn=<AddBackward0>)",21.7891563475132
26,26,80.86,"tensor(122.9925, device='cuda:2', grad_fn=<AddBackward0>)",21.65135744214058
27,27,80.96,"tensor(122.1800, device='cuda:2', grad_fn=<AddBackward0>)",21.53354826569557
28,28,81.09,"tensor(121.3338, device='cuda:2', grad_fn=<AddBackward0>)",21.407553672790527
29,29,81.16,"tensor(120.7258, device='cuda:2', grad_fn=<AddBackward0>)",21.295129239559174
30,30,81.14,"tensor(119.9786, device='cuda:2', grad_fn=<AddBackward0>)",21.194635897874832
31,31,81.36,"tensor(119.3304, device='cuda:2', grad_fn=<AddBackward0>)",21.090368539094925
32,32,81.39,"tensor(118.7165, device='cuda:2', grad_fn=<AddBackward0>)",20.9902358353138
33,33,81.3,"tensor(118.0595, device='cuda:2', grad_fn=<AddBackward0>)",20.90151545405388
34,34,81.56,"tensor(117.5587, device='cuda:2', grad_fn=<AddBackward0>)",20.814761608839035
35,35,81.64,"tensor(116.8799, device='cuda:2', grad_fn=<AddBackward0>)",20.720184803009037
36,36,81.63,"tensor(116.2497, device='cuda:2', grad_fn=<AddBackward0>)",20.648883253335956
37,37,81.61,"tensor(115.8787, device='cuda:2', grad_fn=<AddBackward0>)",20.558628618717197
38,38,81.82,"tensor(115.4349, device='cuda:2', grad_fn=<AddBackward0>)",20.48808968067169
39,39,81.78,"tensor(114.7987, device='cuda:2', grad_fn=<AddBackward0>)",20.409399658441544
40,40,81.92,"tensor(114.3376, device='cuda:2', grad_fn=<AddBackward0>)",20.347811192274094
41,41,81.97,"tensor(113.9332, device='cuda:2', grad_fn=<AddBackward0>)",20.272120535373688
42,42,82.02,"tensor(113.5168, device='cuda:2', grad_fn=<AddBackward0>)",20.204348891973492
43,43,81.98,"tensor(112.9757, device='cuda:2', grad_fn=<AddBackward0>)",20.13978201150894
44,44,81.98,"tensor(112.6486, device='cuda:2', grad_fn=<AddBackward0>)",20.070921510457996
45,45,82.1,"tensor(112.2218, device='cuda:2', grad_fn=<AddBackward0>)",20.014755994081497
46,46,82.08,"tensor(111.8959, device='cuda:2', grad_fn=<AddBackward0>)",19.95766493678093
47,47,82.2,"tensor(111.5180, device='cuda:2', grad_fn=<AddBackward0>)",19.89900663495064
48,48,82.23,"tensor(111.0583, device='cuda:2', grad_fn=<AddBackward0>)",19.84055295586586
49,49,82.24,"tensor(110.6766, device='cuda:2', grad_fn=<AddBackward0>)",19.78942659497261
50,50,82.24,"tensor(110.3841, device='cuda:2', grad_fn=<AddBackward0>)",19.74851587414741
51,51,82.29,"tensor(109.9997, device='cuda:2', grad_fn=<AddBackward0>)",19.68106892704964
52,52,82.42,"tensor(109.6752, device='cuda:2', grad_fn=<AddBackward0>)",19.634906470775604
53,53,82.42,"tensor(109.3242, device='cuda:2', grad_fn=<AddBackward0>)",19.60177254676819
54,54,82.5,"tensor(109.0582, device='cuda:2', grad_fn=<AddBackward0>)",19.532359689474102
55,55,82.62,"tensor(108.7641, device='cuda:2', grad_fn=<AddBackward0>)",19.486070662736893
56,56,82.51,"tensor(108.4372, device='cuda:2', grad_fn=<AddBackward0>)",19.440365225076675
57,57,82.68,"tensor(108.2136, device='cuda:2', grad_fn=<AddBackward0>)",19.39533033967018
58,58,82.69,"tensor(107.7920, device='cuda:2', grad_fn=<AddBackward0>)",19.356714189052585
59,59,82.71,"tensor(107.5559, device='cuda:2', grad_fn=<AddBackward0>)",19.32146191596985
60,60,82.7,"tensor(107.2118, device='cuda:2', grad_fn=<AddBackward0>)",19.271020829677585
61,61,82.73,"tensor(107.0818, device='cuda:2', grad_fn=<AddBackward0>)",19.231150180101395
62,62,82.82,"tensor(106.7648, device='cuda:2', grad_fn=<AddBackward0>)",19.187176674604416
63,63,82.8,"tensor(106.6487, device='cuda:2', grad_fn=<AddBackward0>)",19.162542551755905
64,64,82.86,"tensor(106.3287, device='cuda:2', grad_fn=<AddBackward0>)",19.12055972218513
65,65,82.93,"tensor(105.9643, device='cuda:2', grad_fn=<AddBackward0>)",19.07733005285263
66,66,82.98,"tensor(105.7094, device='cuda:2', grad_fn=<AddBackward0>)",19.03932812809944
67,67,82.99,"tensor(105.5036, device='cuda:2', grad_fn=<AddBackward0>)",19.00448241829872
68,68,83.0,"tensor(105.2192, device='cuda:2', grad_fn=<AddBackward0>)",18.959850311279297
69,69,83.02,"tensor(105.0262, device='cuda:2', grad_fn=<AddBackward0>)",18.930205672979355
70,70,83.03,"tensor(104.7533, device='cuda:2', grad_fn=<AddBackward0>)",18.890611797571182
71,71,83.04,"tensor(104.5969, device='cuda:2', grad_fn=<AddBackward0>)",18.86031973361969
72,72,83.18,"tensor(104.3065, device='cuda:2', grad_fn=<AddBackward0>)",18.823793411254883
73,73,83.14,"tensor(104.0205, device='cuda:2', grad_fn=<AddBackward0>)",18.788316428661343
74,74,83.13,"tensor(103.8622, device='cuda:2', grad_fn=<AddBackward0>)",18.76425164937973
75,75,83.29,"tensor(103.7220, device='cuda:2', grad_fn=<AddBackward0>)",18.731522977352142
76,76,83.07,"tensor(103.3333, device='cuda:2', grad_fn=<AddBackward0>)",18.698299527168277
77,77,83.37,"tensor(103.2943, device='cuda:2', grad_fn=<AddBackward0>)",18.675189048051838
78,78,83.21,"tensor(103.0747, device='cuda:2', grad_fn=<AddBackward0>)",18.63820603489876
79,79,83.33,"tensor(102.8710, device='cuda:2', grad_fn=<AddBackward0>)",18.60791750252247
80,80,83.27,"tensor(102.5991, device='cuda:2', grad_fn=<AddBackward0>)",18.57877354323864
81,81,83.39,"tensor(102.4431, device='cuda:2', grad_fn=<AddBackward0>)",18.549027383327484
82,82,83.26,"tensor(102.2192, device='cuda:2', grad_fn=<AddBackward0>)",18.51710046827793
83,83,83.31,"tensor(102.1543, device='cuda:2', grad_fn=<AddBackward0>)",18.48771020770073
84,84,83.39,"tensor(101.8878, device='cuda:2', grad_fn=<AddBackward0>)",18.475094363093376
85,85,83.36,"tensor(101.6422, device='cuda:2', grad_fn=<AddBackward0>)",18.43872457742691
86,86,83.47,"tensor(101.5283, device='cuda:2', grad_fn=<AddBackward0>)",18.41093236207962
87,87,83.39,"tensor(101.3233, device='cuda:2', grad_fn=<AddBackward0>)",18.37784142792225
88,88,83.46,"tensor(101.1270, device='cuda:2', grad_fn=<AddBackward0>)",18.35624647140503
89,89,83.52,"tensor(101.0619, device='cuda:2', grad_fn=<AddBackward0>)",18.333968460559845
90,90,83.44,"tensor(100.7439, device='cuda:2', grad_fn=<AddBackward0>)",18.301751419901848
91,91,83.6,"tensor(100.5725, device='cuda:2', grad_fn=<AddBackward0>)",18.278445944190025
92,92,83.56,"tensor(100.4375, device='cuda:2', grad_fn=<AddBackward0>)",18.249659299850464
93,93,83.47,"tensor(100.3108, device='cuda:2', grad_fn=<AddBackward0>)",18.23004947602749
94,94,83.66,"tensor(100.1068, device='cuda:2', grad_fn=<AddBackward0>)",18.20280265808105
95,95,83.61,"tensor(99.9730, device='cuda:2', grad_fn=<AddBackward0>)",18.17559966444969
96,96,83.63,"tensor(99.8237, device='cuda:2', grad_fn=<AddBackward0>)",18.152897283434868
97,97,83.62,"tensor(99.5926, device='cuda:2', grad_fn=<AddBackward0>)",18.136687576770782
98,98,83.67,"tensor(99.4506, device='cuda:2', grad_fn=<AddBackward0>)",18.10900950431824
99,99,83.67,"tensor(99.3551, device='cuda:2', grad_fn=<AddBackward0>)",18.08867347240448
